model_name,accuracy,precision,recall,f1_score,auc_roc,true_positives,true_negatives,false_positives,false_negatives
churn_model,0.9367,0.9,0.5143,0.6545,0.9647,18,263,2,17
lead_scorer,0.9667,0.9,0.7941,0.8438,0.9887,27,263,3,7
